n_scan,static_ESS_mg,flowing_ESS_mg,static_sampling_variance_mg_g_sq,static_instrument_variance_mg_g_sq,static_total_variance_mg_g_sq,static_total_sd_mg_g,flowing_sampling_variance_mg_g_sq,flowing_instrument_variance_mg_g_sq,flowing_total_variance_mg_g_sq,flowing_total_sd_mg_g
86,25.0,2150.0,1.44,0.13651162790697674,1.5765116279069766,1.2555921423404084,0.01674418604651163,0.13651162790697674,0.15325581395348836,0.3914790083178003
87,25.0,2175.0,1.44,0.13597701149425287,1.5759770114942528,1.2553792301508946,0.016551724137931035,0.13597701149425287,0.15252873563218391,0.39054927426918096
88,25.0,2200.0,1.44,0.13545454545454544,1.5754545454545454,1.255171121980802,0.016363636363636365,0.13545454545454544,0.1518181818181818,0.389638527122488
89,25.0,2225.0,1.44,0.1349438202247191,1.574943820224719,1.2549676570432877,0.016179775280898877,0.1349438202247191,0.15112359550561796,0.3887461839113253
90,25.0,2250.0,1.44,0.13444444444444445,1.5744444444444443,1.254768681647914,0.016,0.13444444444444445,0.15044444444444444,0.3878716855410362
91,25.0,2275.0,1.44,0.13395604395604396,1.5739560439560438,1.2545740488133985,0.015824175824175824,0.13395604395604396,0.1497802197802198,0.38701449556860246
92,25.0,2300.0,1.44,0.1334782608695652,1.5734782608695652,1.2543836179054497,0.01565217391304348,0.1334782608695652,0.14913043478260868,0.38617409905715927
93,25.0,2325.0,1.44,0.13301075268817203,1.573010752688172,1.2541972542978126,0.015483870967741935,0.13301075268817203,0.14849462365591395,0.38535000149982346
94,25.0,2350.0,1.44,0.1325531914893617,1.5725531914893616,1.254014829054809,0.015319148936170212,0.1325531914893617,0.1478723404255319,0.3845417278079609
95,25.0,2375.0,1.44,0.13210526315789473,1.5721052631578947,1.2538362186337955,0.015157894736842105,0.13210526315789473,0.14726315789473682,0.3837488213594106
96,25.0,2400.0,1.44,0.13166666666666665,1.5716666666666665,1.2536613046060991,0.015,0.13166666666666665,0.14666666666666667,0.38297084310253526
97,25.0,2425.0,1.44,0.13123711340206184,1.5712371134020617,1.2534899733951053,0.014845360824742268,0.13123711340206184,0.14608247422680412,0.38220737071229294
98,25.0,2450.0,1.44,0.13081632653061223,1.570816326530612,1.2533221160302774,0.014693877551020407,0.13081632653061223,0.14551020408163265,0.38145799779481965
99,25.0,2475.0,1.44,0.1304040404040404,1.5704040404040405,1.253157627915994,0.014545454545454545,0.1304040404040404,0.14494949494949497,0.38072233313728127
100,25.0,2500.0,1.44,0.13,1.5699999999999998,1.2529964086141667,0.0144,0.13,0.1444,0.38
