ESS_mg,sigma_floor_variance_mg_g_sq,k,b,observed_variance_mg_g_sq,observed_sd_mg_g
215.0,0.16,36.0,1.0,0.32744186046511625,0.5722253581108725
216.0,0.16,36.0,1.0,0.32666666666666666,0.5715476066494082
217.0,0.16,36.0,1.0,0.3258986175115207,0.5708753081991905
218.0,0.16,36.0,1.0,0.3251376146788991,0.5702083958333998
219.0,0.16,36.0,1.0,0.32438356164383564,0.5695468037341932
220.0,0.16,36.0,1.0,0.3236363636363636,0.5688904671695278
221.0,0.16,36.0,1.0,0.32289592760180996,0.5682393224705679
222.0,0.16,36.0,1.0,0.3221621621621622,0.56759330700966
223.0,0.16,36.0,1.0,0.32143497757847533,0.5669523591788602
224.0,0.16,36.0,1.0,0.32071428571428573,0.5663164183689943
225.0,0.16,36.0,1.0,0.32,0.565685424949238
226.0,0.16,36.0,1.0,0.3192920353982301,0.5650593202472021
227.0,0.16,36.0,1.0,0.3185903083700441,0.5644380465295054
228.0,0.16,36.0,1.0,0.31789473684210523,0.5638215469828244
229.0,0.16,36.0,1.0,0.3172052401746725,0.5632097656954046
230.0,0.16,36.0,1.0,0.3165217391304348,0.5626026476390196
231.0,0.16,36.0,1.0,0.3158441558441558,0.5620001386513671
232.0,0.16,36.0,1.0,0.31517241379310346,0.561402185418888
233.0,0.16,36.0,1.0,0.3145064377682404,0.5608087354599965
234.0,0.16,36.0,1.0,0.3138461538461539,0.5602197371087115
235.0,0.16,36.0,1.0,0.31319148936170216,0.5596351394986756
236.0,0.16,36.0,1.0,0.31254237288135595,0.5590548925475529
237.0,0.16,36.0,1.0,0.3118987341772152,0.558478946941794
238.0,0.16,36.0,1.0,0.31126050420168067,0.5579072541217587
239.0,0.16,36.0,1.0,0.3106276150627615,0.557339766267186
240.0,0.16,36.0,1.0,0.31,0.5567764362830022
241.0,0.16,36.0,1.0,0.30937759336099585,0.5562172177854582
242.0,0.16,36.0,1.0,0.3087603305785124,0.5556620650885864
243.0,0.16,36.0,1.0,0.30814814814814817,0.5551109331909687
244.0,0.16,36.0,1.0,0.30754098360655735,0.5545637777628082
245.0,0.16,36.0,1.0,0.3069387755102041,0.5540205551332947
246.0,0.16,36.0,1.0,0.30634146341463414,0.5534812222782577
247.0,0.16,36.0,1.0,0.305748987854251,0.5529457368080986
248.0,0.16,36.0,1.0,0.30516129032258066,0.5524140569559944
249.0,0.16,36.0,1.0,0.30457831325301205,0.551886141566367
250.0,0.16,36.0,1.0,0.304,0.5513619500836089
251.0,0.16,36.0,1.0,0.30342629482071715,0.5508414425410612
252.0,0.16,36.0,1.0,0.3028571428571428,0.550324579550235
253.0,0.16,36.0,1.0,0.30229249011857706,0.5498113222902717
254.0,0.16,36.0,1.0,0.30173228346456693,0.5493016324976351
255.0,0.16,36.0,1.0,0.30117647058823527,0.5487954724560282
256.0,0.16,36.0,1.0,0.30062500000000003,0.5482928049865328
257.0,0.16,36.0,1.0,0.30007782101167313,0.5477935934379601
258.0,0.16,36.0,1.0,0.29953488372093023,0.5472978016774143
259.0,0.16,36.0,1.0,0.29899613899613897,0.546805394081056
260.0,0.16,36.0,1.0,0.29846153846153844,0.5463163355250678
261.0,0.16,36.0,1.0,0.2979310344827586,0.5458305913768104
262.0,0.16,36.0,1.0,0.2974045801526718,0.5453481274861699
263.0,0.16,36.0,1.0,0.2968821292775665,0.544868910177087
264.0,0.16,36.0,1.0,0.2963636363636364,0.544392906239268
265.0,0.16,36.0,1.0,0.2958490566037736,0.543920082920068
266.0,0.16,36.0,1.0,0.2953383458646617,0.5434504079165473
267.0,0.16,36.0,1.0,0.29483146067415733,0.5429838493676928
268.0,0.16,36.0,1.0,0.2943283582089552,0.5425203758468019
269.0,0.16,36.0,1.0,0.2938289962825279,0.5420599563540254
270.0,0.16,36.0,1.0,0.29333333333333333,0.5416025603090641
271.0,0.16,36.0,1.0,0.29284132841328414,0.5411481575440169
272.0,0.16,36.0,1.0,0.2923529411764706,0.540696718296376
