bulk_density_g_per_cm3,acquisition_time_s,velocity_mm_s,probe_mass_mg_instant,new_mass_mg_per_acq,mass_passed_mg_per_acq,time_weighted_contribution_proxy_mg_s,refresh_fraction_per_acq,effective_sample_size_mg
0.5,3.7368421052631575,6.719875374991137,245.43692606170262,245.43692606170262,6163.194444444443,917.1590394937308,1.0,245.43692606170262
0.5,3.9473684210526314,6.719875374991137,245.43692606170262,245.43692606170262,6510.416666666666,968.8299712961946,1.0,245.43692606170262
0.5,4.157894736842105,6.719875374991137,245.43692606170262,245.43692606170262,6857.63888888889,1020.5009030986582,1.0,245.43692606170262
0.5,4.368421052631579,6.719875374991137,245.43692606170262,245.43692606170262,7204.86111111111,1072.171834901122,1.0,245.43692606170262
0.5,4.578947368421052,6.719875374991137,245.43692606170262,245.43692606170262,7552.083333333333,1123.8427667035855,1.0,245.43692606170262
0.5,4.789473684210526,6.719875374991137,245.43692606170262,245.43692606170262,7899.305555555555,1175.5136985060492,1.0,245.43692606170262
0.5,5.0,6.719875374991137,245.43692606170262,245.43692606170262,8246.52777777778,1227.184630308513,1.0,245.43692606170262
0.6,1.0,5.599896145825946,294.5243112740431,65.97222222222221,1649.3055555555557,294.5243112740431,0.22399584583303786,65.97222222222221
0.6,1.2105263157894737,5.599896145825946,294.5243112740431,79.8611111111111,1996.5277777777776,356.5294294369996,0.27115286600841426,79.8611111111111
0.6,1.4210526315789473,5.599896145825946,294.5243112740431,93.74999999999999,2343.75,418.534547599956,0.31830988618379064,93.74999999999999
0.6,1.631578947368421,5.599896145825946,294.5243112740431,107.63888888888887,2690.972222222222,480.5396657629124,0.365466906359167,107.63888888888887
0.6,1.8421052631578947,5.599896145825946,294.5243112740431,121.52777777777776,3038.1944444444443,542.544783925869,0.41262392653454344,121.52777777777776
0.6,2.052631578947368,5.599896145825946,294.5243112740431,135.41666666666663,3385.416666666666,604.5499020888252,0.45978094670991976,135.41666666666663
0.6,2.263157894736842,5.599896145825946,294.5243112740431,149.30555555555554,3732.6388888888887,666.5550202517817,0.5069379668852962,149.30555555555554
0.6,2.473684210526316,5.599896145825946,294.5243112740431,163.19444444444443,4079.8611111111118,728.5601384147382,0.5540949870606726,163.19444444444443
0.6,2.6842105263157894,5.599896145825946,294.5243112740431,177.08333333333331,4427.083333333333,790.5652565776946,0.601252007236049,177.08333333333331
0.6,2.894736842105263,5.599896145825946,294.5243112740431,190.97222222222217,4774.305555555556,852.570374740651,0.6484090274114254,190.97222222222217
0.6,3.1052631578947367,5.599896145825946,294.5243112740431,204.8611111111111,5121.527777777777,914.5754929036075,0.6955660475868017,204.8611111111111
0.6,3.3157894736842106,5.599896145825946,294.5243112740431,218.75,5468.75,976.5806110665641,0.7427230677621782,218.75
0.6,3.526315789473684,5.599896145825946,294.5243112740431,232.63888888888883,5815.972222222223,1038.5857292295204,0.7898800879375545,232.63888888888883
0.6,3.7368421052631575,5.599896145825946,294.5243112740431,246.52777777777771,6163.194444444443,1100.590847392477,0.8370371081129309,246.52777777777771
0.6,3.9473684210526314,5.599896145825946,294.5243112740431,260.41666666666663,6510.416666666666,1162.5959655554332,0.8841941282883073,260.41666666666663
0.6,4.157894736842105,5.599896145825946,294.5243112740431,274.30555555555554,6857.63888888889,1224.6010837183899,0.9313511484636837,274.30555555555554
0.6,4.368421052631579,5.599896145825946,294.5243112740431,288.1944444444444,7204.86111111111,1286.6062018813461,0.9785081686390601,288.1944444444444
0.6,4.578947368421052,5.599896145825946,294.5243112740431,294.5243112740431,7552.083333333333,1348.6113200443026,1.0,294.5243112740431
0.6,4.789473684210526,5.599896145825946,294.5243112740431,294.5243112740431,7899.305555555555,1410.6164382072589,1.0,294.5243112740431
0.6,5.0,5.599896145825946,294.5243112740431,294.5243112740431,8246.52777777778,1472.6215563702153,1.0,294.5243112740431
