setup,pipe_diameter_cm,pipe_area_cm2,total_rig_height_cm,maintained_fill_fraction,filled_height_cm,probe_height_from_bottom_cm,probe_submergence_cm,probe_is_covered,coverage_factor,nir_spot_diameter_cm,nir_spot_area_cm2,measurement_depth_cm,bulk_density_g_per_cm3,throughput_kg,throughput_time_s,mass_flow_g_s,vol_flow_cm3_s,velocity_source,velocity_cm_s,velocity_mm_s,acquisition_time_s,axial_length_model,axial_sampling_length_cm,advance_dz_cm_per_acq,raw_refresh_fraction_per_acq,refresh_fraction_per_acq,probe_volume_cm3,probe_mass_g_instant,probe_mass_mg_instant,new_mass_g_per_acq,new_mass_mg_per_acq,mass_passed_g_per_acq,mass_passed_mg_per_acq,mass_time_exposure_g_s,mass_time_exposure_mg_s,effective_sample_size_mg,sweep_type
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,52.63157894736842,3600.0,14.619883040935672,48.732943469785575,derived_from_throughput,0.620487107570742,6.20487107570742,1.631578947368421,spot_diameter,2.5,1.0123737018259475,0.404949480730379,0.404949480730379,0.49087385212340523,0.14726215563702155,147.26215563702155,0.05963373345644813,59.633733456448134,1.4908433364112035,1490.8433364112034,0.2402698328814562,240.2698328814562,59.633733456448134,throughput_acquisition
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,52.63157894736842,3600.0,14.619883040935672,48.732943469785575,derived_from_throughput,0.620487107570742,6.20487107570742,1.8421052631578947,spot_diameter,2.5,1.1430025665776826,0.45720102663107304,0.45720102663107304,0.49087385212340523,0.14726215563702155,147.26215563702155,0.06732840874115112,67.32840874115112,1.683210218528778,1683.2102185287781,0.27127239196293446,271.2723919629345,67.32840874115112,throughput_acquisition
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,52.63157894736842,3600.0,14.619883040935672,48.732943469785575,derived_from_throughput,0.620487107570742,6.20487107570742,2.052631578947368,spot_diameter,2.5,1.2736314313294177,0.5094525725317671,0.5094525725317671,0.49087385212340523,0.14726215563702155,147.26215563702155,0.0750230840258541,75.0230840258541,1.8755771006463524,1875.5771006463524,0.3022749510444126,302.2749510444126,75.0230840258541,throughput_acquisition
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,52.63157894736842,3600.0,14.619883040935672,48.732943469785575,derived_from_throughput,0.620487107570742,6.20487107570742,2.263157894736842,spot_diameter,2.5,1.404260296081153,0.5617041184324612,0.5617041184324612,0.49087385212340523,0.14726215563702155,147.26215563702155,0.08271775931055708,82.71775931055708,2.067943982763927,2067.943982763927,0.33327751012589085,333.27751012589084,82.71775931055708,throughput_acquisition
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,52.63157894736842,3600.0,14.619883040935672,48.732943469785575,derived_from_throughput,0.620487107570742,6.20487107570742,2.473684210526316,spot_diameter,2.5,1.534889160832888,0.6139556643331552,0.6139556643331552,0.49087385212340523,0.14726215563702155,147.26215563702155,0.09041243459526006,90.41243459526007,2.260310864881502,2260.310864881502,0.3642800692073691,364.2800692073691,90.41243459526007,throughput_acquisition
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,52.63157894736842,3600.0,14.619883040935672,48.732943469785575,derived_from_throughput,0.620487107570742,6.20487107570742,2.6842105263157894,spot_diameter,2.5,1.6655180255846231,0.6662072102338492,0.6662072102338492,0.49087385212340523,0.14726215563702155,147.26215563702155,0.09810710987996304,98.10710987996305,2.4526777469990764,2452.6777469990766,0.3952826282888473,395.2826282888473,98.10710987996305,throughput_acquisition
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,52.63157894736842,3600.0,14.619883040935672,48.732943469785575,derived_from_throughput,0.620487107570742,6.20487107570742,2.894736842105263,spot_diameter,2.5,1.7961468903363582,0.7184587561345432,0.7184587561345432,0.49087385212340523,0.14726215563702155,147.26215563702155,0.10580178516466603,105.80178516466603,2.645044629116651,2645.0446291166513,0.4262851873703255,426.2851873703255,105.80178516466603,throughput_acquisition
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,52.63157894736842,3600.0,14.619883040935672,48.732943469785575,derived_from_throughput,0.620487107570742,6.20487107570742,3.1052631578947367,spot_diameter,2.5,1.9267757550880935,0.7707103020352374,0.7707103020352374,0.49087385212340523,0.14726215563702155,147.26215563702155,0.11349646044936902,113.49646044936902,2.837411511234226,2837.411511234226,0.45728774645180376,457.28774645180374,113.49646044936902,throughput_acquisition
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,52.63157894736842,3600.0,14.619883040935672,48.732943469785575,derived_from_throughput,0.620487107570742,6.20487107570742,3.3157894736842106,spot_diameter,2.5,2.057404619839829,0.8229618479359315,0.8229618479359315,0.49087385212340523,0.14726215563702155,147.26215563702155,0.12119113573407202,121.19113573407202,3.0297783933518008,3029.778393351801,0.488290305533282,488.29030553328204,121.19113573407202,throughput_acquisition
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,52.63157894736842,3600.0,14.619883040935672,48.732943469785575,derived_from_throughput,0.620487107570742,6.20487107570742,3.526315789473684,spot_diameter,2.5,2.1880334845915637,0.8752133938366254,0.8752133938366254,0.49087385212340523,0.14726215563702155,147.26215563702155,0.12888581101877497,128.88581101877497,3.222145275469375,3222.145275469375,0.5192928646147602,519.2928646147602,128.88581101877497,throughput_acquisition
