setup,penetration_depth_mm,penetration_depth_m,penetration_depth_cm,bulk_density_g_cm3,bulk_density_g_per_cm3,bulk_density_kg_m3,probe_diameter_mm,probe_area_m2,illuminated_area_cm2,static_sampled_volume_m3,static_sampled_volume_mm3,spoon_sample_volume_cm3,static_sampled_mass_kg,static_sampled_mass_g,static_sampled_mass_mg,n_subscans,integration_time_ms,acquisition_time_s,total_spectral_acquisition_time_s,spoon_interval_s,flip_frequency_hz,spoons_contributing,effective_sampled_mass_kg,effective_sample_size_g,effective_sampled_mass_mg,effective_sample_size_mg
B,0.30000000000000004,0.00030000000000000003,0.030000000000000006,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,5.8904862254808625e-09,5.8904862254808625,0.0058904862254808635,3.5342917352885176e-06,0.0035342917352885177,3.5342917352885177,500,10.0,5.0,5.0,3.0,0.3333333333333333,1.6666666666666667,5.890486225480863e-06,0.0058904862254808635,5.890486225480863,5.890486225480863
B,0.30000000000000004,0.00030000000000000003,0.030000000000000006,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,5.8904862254808625e-09,5.8904862254808625,0.0058904862254808635,3.5342917352885176e-06,0.0035342917352885177,3.5342917352885177,500,10.0,5.0,5.0,4.0,0.25,1.25,4.417864669110647e-06,0.004417864669110648,4.417864669110648,4.417864669110648
B,0.30000000000000004,0.00030000000000000003,0.030000000000000006,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,5.8904862254808625e-09,5.8904862254808625,0.0058904862254808635,3.5342917352885176e-06,0.0035342917352885177,3.5342917352885177,500,10.0,5.0,5.0,5.0,0.2,1.0,3.5342917352885176e-06,0.0035342917352885177,3.5342917352885177,3.5342917352885177
B,0.4,0.0004,0.04,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,7.853981633974483e-09,7.853981633974483,0.007853981633974483,3.141592653589793e-06,0.003141592653589793,3.1415926535897927,500,10.0,5.0,5.0,1.0,1.0,5.0,1.5707963267948964e-05,0.015707963267948963,15.707963267948964,15.707963267948964
B,0.4,0.0004,0.04,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,7.853981633974483e-09,7.853981633974483,0.007853981633974483,3.141592653589793e-06,0.003141592653589793,3.1415926535897927,500,10.0,5.0,5.0,2.0,0.5,2.5,7.853981633974482e-06,0.007853981633974482,7.853981633974482,7.853981633974482
B,0.4,0.0004,0.04,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,7.853981633974483e-09,7.853981633974483,0.007853981633974483,3.141592653589793e-06,0.003141592653589793,3.1415926535897927,500,10.0,5.0,5.0,3.0,0.3333333333333333,1.6666666666666667,5.235987755982989e-06,0.005235987755982989,5.235987755982989,5.235987755982989
B,0.4,0.0004,0.04,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,7.853981633974483e-09,7.853981633974483,0.007853981633974483,3.141592653589793e-06,0.003141592653589793,3.1415926535897927,500,10.0,5.0,5.0,4.0,0.25,1.25,3.926990816987241e-06,0.003926990816987241,3.926990816987241,3.926990816987241
B,0.4,0.0004,0.04,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,7.853981633974483e-09,7.853981633974483,0.007853981633974483,3.141592653589793e-06,0.003141592653589793,3.1415926535897927,500,10.0,5.0,5.0,5.0,0.2,1.0,3.141592653589793e-06,0.003141592653589793,3.1415926535897927,3.1415926535897927
B,0.4,0.0004,0.04,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,7.853981633974483e-09,7.853981633974483,0.007853981633974483,3.926990816987241e-06,0.003926990816987241,3.926990816987241,500,10.0,5.0,5.0,1.0,1.0,5.0,1.9634954084936207e-05,0.019634954084936207,19.634954084936208,19.634954084936208
B,0.4,0.0004,0.04,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,7.853981633974483e-09,7.853981633974483,0.007853981633974483,3.926990816987241e-06,0.003926990816987241,3.926990816987241,500,10.0,5.0,5.0,2.0,0.5,2.5,9.817477042468103e-06,0.009817477042468103,9.817477042468104,9.817477042468104
